Data,pcr-positivo,pcr-negativo,pcr-positivo-0a4,pcr-positivo-5a9,pcr-positivo-10a14,pcr-positivo-15a19,pcr-positivo-20a29,pcr-positivo-30a39,pcr-positivo-40a49,pcr-positivo-50a59,pcr-positivo-60a69,pcr-positivo-70a79,pcr-positivo-80a999,obitos,DT_NOTIFIC_x,pcr_negativo,pcr_positivo,pcr_total,srag_pcr-positivo-5a9,srag_pcr-positivo-0a4,srag_pcr-positivo-10a14,srag_pcr-positivo-15a19,srag_pcr-positivo-20a29,srag_pcr-positivo-30a39,srag_pcr-positivo-40a49,srag_pcr-positivo-50a59,srag_pcr-positivo-60a69,srag_pcr-positivo-70a79,srag_pcr-positivo-80a999,srag_obito,DT_NOTIFIC_y,pcr2_negativo,pcr2_positivo,pcr2_total,srag2_pcr-positivo-5a9,srag2_pcr-positivo-0a4,srag2_pcr-positivo-10a14,srag2_pcr-positivo-15a19,srag2_pcr-positivo-20a29,srag2_pcr-positivo-30a39,srag2_pcr-positivo-40a49,srag2_pcr-positivo-50a59,srag2_pcr-positivo-60a69,srag2_pcr-positivo-70a79,srag2_pcr-positivo-80a999,srag2_obito,pcr-positivo-final,pcr-negativo-final,obito-final,pcr-positivo-0a4-final,pcr-positivo-5a9-final,pcr-positivo-10a14-final,pcr-positivo-15a19-final,pcr-positivo-20a29-final,pcr-positivo-30a39-final,pcr-positivo-40a49-final,pcr-positivo-50a59-final,pcr-positivo-60a69-final,pcr-positivo-70a79-final,pcr-positivo-80a999-final
2020-02-07,2,3,0,0,0,0,0,0,0,1,0,1,0,0,2020-02-07,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2020-02-08,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2020-02-08,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-09,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2020-02-09,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,10,7,0,0,6,0,0,1,1,1,1,0,0,0,2020-02-10,76.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,83.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2020-02-11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2020-02-11,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,6,7,1,0,0,1,0,1,1,0,1,1,0,0,2020-02-12,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,63.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
2020-02-13,2,2,1,0,0,0,1,0,0,0,0,0,0,0,2020-02-13,57.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2020-02-14,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-02-15,5,7,0,0,0,0,0,1,1,2,0,1,0,0,2020-02-15,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0
2020-02-16,5,2,0,0,0,2,2,0,0,0,1,0,0,0,2020-02-16,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-17,8,7,1,0,0,0,1,4,1,1,0,0,0,0,2020-02-17,133.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,140.0,16.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0
